MSOAC,LSOACOUNT,POPMID15,IMD19 SCORE
E02000500,5,8205,7.238890311
E02000501,5,8451,8.764077151
E02000502,5,8253,8.720309584
E02000503,5,9159,8.01256469
E02000504,5,7464,6.065078778
E02000506,5,7916,8.406718039
E02000507,5,8129,11.40305413
E02000508,4,11287,14.74213281
E02000509,4,12057,15.67059119
E02000510,5,8795,15.97284548
E02000511,6,9906,15.61196689
E02000512,5,8450,25.67857811
E02000513,5,9992,29.06961499
E02000514,6,10215,21.02076838
E02000515,6,11385,25.96812754
E02000516,5,9023,22.52729635
E02000517,5,9762,26.90824216
E02000518,5,8841,27.76235177
E02000519,5,9128,30.21653002
E02000520,6,13016,26.35636716
E02000521,5,11978,28.08770321
E02000522,5,9238,24.4800814
E02000523,5,11079,20.60353534
E02000524,4,7522,23.92614079
E02000525,5,9800,23.33353612
E02000526,5,8427,10.52858075
E02000528,6,11544,31.21370738
E02000529,5,8593,22.90753357
E02000530,4,7147,33.26754316
E02000531,5,10248,22.93878103
E02000532,6,9108,14.99807795
E02000533,5,8396,15.51448368
E02000534,4,8176,13.7221524
E02000535,5,9375,19.51728331
E02000536,5,9541,20.89095451
E02000537,5,9260,16.15282646
E02000538,5,9547,22.20265696
E02000539,5,10962,20.98894034
E02000540,5,10308,20.83967637
E02000541,5,9397,24.00356795
E02000542,5,11287,24.03569806
E02000543,6,13191,21.48257706
E02000544,5,8365,14.27977621
E02000545,5,8578,25.57655794
E02000546,5,9797,21.02405941
E02000547,5,9922,20.50548811
E02000548,5,9654,27.05131407
E02000549,6,11394,22.36303133
E02000550,6,10761,26.45205353
E02000551,5,8956,31.84457972
E02000552,5,8880,17.76589065
E02000553,4,6852,21.70560829
E02000554,6,9874,36.66239346
E02000555,6,9722,26.46300453
E02000556,6,10615,28.72032586
E02000557,5,8495,32.96260871
E02000558,5,9869,41.07389715
E02000559,6,9778,19.86610309
E02000560,4,8128,26.43068984
E02000561,4,8260,17.51918632
E02000562,5,8909,23.77685094
E02000563,5,8967,35.92107037
E02000564,7,11981,28.14323871
E02000565,5,8808,30.05893744
E02000566,5,9135,19.40020033
E02000567,6,11564,27.7761618
E02000568,5,11863,31.37831341
E02000569,6,10896,29.22653882
E02000570,5,9613,16.2343384
E02000571,5,8926,31.61491777
E02000572,5,8963,35.59977106
E02000573,5,9475,21.75092433
E02000574,5,9038,25.39780704
E02000575,7,13452,21.6467025
E02000576,5,11176,26.24840668
E02000577,5,6938,48.5609448
E02000578,4,5887,42.82580601
E02000579,5,8417,30.37523892
E02000580,5,8149,35.25206234
E02000581,5,7041,41.39443758
E02000582,5,7166,16.72524058
E02000583,5,6962,16.84167165
E02000584,5,7895,11.60091058
E02000585,5,8113,16.70170442
E02000586,5,7515,9.498918297
E02000587,5,7404,11.36996299
E02000588,5,8100,11.11695469
E02000589,5,8632,16.74312407
E02000590,5,7346,20.74208059
E02000591,4,6741,28.76678579
E02000592,5,7043,11.40649681
E02000593,5,8074,19.46751883
E02000594,5,7870,12.73174549
E02000595,5,7670,14.96315698
E02000596,5,8347,12.34182748
E02000597,5,7279,32.16868196
E02000598,5,8092,6.144264335
E02000599,5,7982,7.575964671
E02000600,5,9078,8.830271205
E02000601,6,12320,9.207309253
E02000602,5,10519,19.05174009
E02000603,5,8383,17.88980914
E02000604,5,8975,10.64922986
E02000605,5,8173,11.17658767
E02000606,5,10364,10.24635652
E02000607,4,7744,7.982177686
E02000608,4,8481,11.44378552
E02000609,5,7697,13.53369676
E02000610,5,8098,14.55825624
E02000611,5,7544,5.687776246
E02000612,5,8147,9.021012397
E02000613,5,8306,11.42226535
E02000614,5,8860,14.95228646
E02000615,5,7842,10.27703877
E02000616,4,6148,9.510588321
E02000617,5,8856,16.04645766
E02000619,5,8708,27.95872657
E02000620,5,10116,25.99694504
E02000621,6,10949,25.98523783
E02000622,5,8980,23.47788107
E02000623,5,8196,28.88501672
E02000624,5,8385,29.00141729
E02000625,5,8416,31.11013462
E02000626,5,8551,35.38426617
E02000627,5,9842,29.5691329
E02000628,6,9607,38.76461112
E02000629,5,9125,22.65602082
E02000630,5,7889,20.47234998
E02000631,5,9587,19.12386263
E02000632,5,8941,23.35723689
E02000633,5,9084,32.63786933
E02000634,4,6674,30.16654975
E02000635,5,9318,26.39590974
E02000636,5,7949,15.97902881
E02000637,5,9113,22.23605673
E02000638,5,10843,25.1652432
E02000639,5,8304,28.6021468
E02000640,6,9682,16.02385891
E02000641,5,8978,32.5953004
E02000642,5,9839,24.80936701
E02000643,5,9277,22.51157217
E02000644,5,9023,20.97485869
E02000645,5,9598,22.59827693
E02000646,5,10152,19.73400502
E02000647,5,9144,19.74020986
E02000648,5,8292,34.77551363
E02000649,6,13326,24.58144605
E02000650,5,7632,31.01599934
E02000651,5,9277,21.3245947
E02000652,5,8018,20.35834697
E02000653,5,9882,27.21123345
E02000654,5,8647,34.46425997
E02000655,5,8863,32.33255805
E02000657,5,9898,26.14080835
E02000658,5,8759,24.88318941
E02000659,5,7958,22.07216939
E02000660,5,8492,24.62350412
E02000661,4,6763,16.33983824
E02000662,5,8824,23.98974263
E02000663,4,7466,20.51843986
E02000664,6,11750,34.52040026
E02000665,4,8737,20.6207031
E02000666,4,7309,21.69424696
E02000667,4,6895,15.33854532
E02000668,4,7361,17.37796142
E02000669,5,7985,24.5318938
E02000670,4,6619,34.12369769
E02000671,5,8734,20.80914529
E02000672,5,8871,33.70041021
E02000673,5,8364,15.8290654
E02000674,5,8428,21.288556
E02000675,5,8714,19.71985426
E02000676,5,8153,20.79734012
E02000677,4,7391,22.7432338
E02000678,4,6667,31.29934558
E02000679,5,8230,26.11032892
E02000680,4,7614,26.32857105
E02000681,5,8589,34.67987833
E02000682,5,8926,31.32062324
E02000683,4,6332,32.89828743
E02000685,5,8414,27.24234835
E02000686,4,7373,39.94807595
E02000687,5,8444,25.49714093
E02000689,5,8175,9.18724208
E02000690,4,5492,6.785943008
E02000691,5,7486,9.183412503
E02000692,5,7637,5.56483868
E02000693,5,9365,12.83311361
E02000694,5,9080,10.67231487
E02000695,5,8484,14.05193352
E02000696,5,8313,18.15923096
E02000697,5,8444,6.867456892
E02000698,5,7888,5.883827333
E02000699,5,7937,6.30793587
E02000700,5,8579,23.03602494
E02000701,5,8577,21.03585496
E02000702,5,8681,24.3327172
E02000703,5,7856,7.517969577
E02000704,5,8113,13.75204277
E02000705,5,8752,15.40453576
E02000706,5,9454,27.77998413
E02000707,5,7635,26.48113163
E02000708,5,8547,8.284308997
E02000709,5,7759,7.481353009
E02000710,5,8702,22.27125362
E02000711,5,8724,22.92540486
E02000712,5,8794,22.80065715
E02000713,5,7491,9.228112402
E02000714,4,8302,27.65861142
E02000715,4,7746,31.15550542
E02000716,4,7769,30.45154743
E02000717,4,8663,29.73585432
E02000718,4,7453,34.01824165
E02000719,4,8382,27.79439585
E02000720,4,7747,25.12422434
E02000721,5,9824,33.37428217
E02000722,4,8358,27.69799892
E02000723,5,10965,25.03543238
E02000724,5,10021,27.70225367
E02000725,4,9352,30.49649914
E02000726,5,18263,27.45916569
E02000727,4,8478,27.19760085
E02000728,5,8268,25.8413141
E02000729,4,7251,26.25998717
E02000730,4,9180,27.07300501
E02000731,5,10769,29.36412137
E02000732,4,8014,33.48235875
E02000733,5,10263,29.70705885
E02000734,4,7838,29.24225695
E02000735,4,8188,30.68628029
E02000736,5,9074,32.12584119
E02000737,5,10217,28.03085651
E02000738,4,9236,22.98036542
E02000739,4,7595,28.75636445
E02000740,4,7046,32.49887482
E02000741,4,8868,28.58458875
E02000742,4,8655,31.15196407
E02000743,4,9244,38.294951
E02000744,4,8955,35.41070296
E02000745,5,8511,30.54680931
E02000746,4,7990,32.28701402
E02000747,7,11766,32.73259179
E02000748,4,6481,26.13575204
E02000749,5,8850,40.51207333
E02000750,6,12672,22.49670557
E02000751,7,10540,7.202862998
E02000752,4,7362,28.57728498
E02000753,4,6599,23.51056933
E02000754,4,6769,14.50568651
E02000755,3,5640,16.18405319
E02000756,7,13423,16.16076466
E02000757,7,12580,9.42959849
E02000758,4,6086,16.23159514
E02000759,7,13158,15.52582551
E02000760,4,7132,19.82641321
E02000762,4,6609,10.21119958
E02000763,4,7292,17.38797244
E02000764,7,12546,11.06974374
E02000765,4,6595,12.9965768
E02000767,4,8063,15.67071239
E02000768,4,5837,9.023436526
E02000769,8,15941,16.92342864
E02000770,4,7961,15.91164339
E02000772,4,8774,18.02358639
E02000773,4,9956,16.50937646
E02000774,4,7532,22.11288409
E02000776,4,6815,17.05742362
E02000777,4,6076,17.29895244
E02000779,4,8421,26.40787151
E02000780,8,16198,23.34816138
E02000781,7,14813,16.98221562
E02000782,5,10006,28.46485559
E02000783,4,7465,27.66082451
E02000784,7,10131,9.805824894
E02000785,6,9659,6.926790247
E02000786,7,11405,9.700054976
E02000787,7,11496,13.6120628
E02000788,5,8908,6.50108498
E02000789,4,6266,9.629095117
E02000790,4,6538,5.384548027
E02000791,4,6508,5.957178857
E02000792,4,7121,5.734242241
E02000793,5,8343,11.20644157
E02000794,4,6830,7.141383602
E02000795,4,6914,8.906516199
E02000796,6,10624,16.4039166
E02000797,4,7544,6.688603791
E02000798,7,11086,10.26773426
E02000799,4,6598,5.548346014
E02000800,3,5422,15.60235891
E02000801,4,7139,5.662386749
E02000802,4,7024,7.598219675
E02000803,6,9602,17.43955728
E02000804,4,7311,6.896205581
E02000805,6,11391,8.833813537
E02000806,6,10264,8.497609412
E02000807,5,9097,13.79343861
E02000808,5,10353,19.593476
E02000809,8,13228,15.79987096
E02000810,5,12472,26.14106591
E02000812,6,10634,27.73977854
E02000813,5,10267,27.19934772
E02000814,5,9089,20.19726152
E02000815,4,7087,26.75764315
E02000816,5,10059,28.85131912
E02000817,4,7195,34.55739055
E02000818,4,7683,34.45533229
E02000819,5,8788,31.00217934
E02000820,6,9929,27.40824323
E02000821,5,8128,39.2690625
E02000822,5,7295,33.17434969
E02000823,5,8663,28.6145445
E02000824,5,10091,31.90757239
E02000825,5,9583,33.3012231
E02000826,5,9091,29.95523408
